Temperatura, Can B, 24V
Tempo ( s )	Temperatura ( °C )
91,2000	24,47803195
91,3000	24,47803195
91,4000	24,52306280
91,5000	24,47803195
91,6000	24,47803195
91,7000	24,47803195
91,8000	24,52306280
91,9000	24,52306280
92,0000	24,56811635
92,1000	24,47803195
92,2000	24,52306280
92,3000	24,47803195
92,4000	24,52306280
92,5000	24,52306280
92,6000	24,52306280
92,7000	24,47803195
92,8000	24,52306280
92,9000	24,47803195
93,0000	24,52306280
93,1000	24,52306280
93,2000	24,52306280
93,3000	24,47803195
93,4000	24,52306280
93,5000	24,52306280
93,6000	24,56811635
93,7000	24,52306280
93,8000	24,56811635
93,9000	24,52306280
94,0000	24,47803195
94,1000	24,47803195
94,2000	24,52306280
94,3000	24,52306280
94,4000	24,52306280
94,5000	24,52306280
94,6000	24,52306280
94,7000	24,47803195
94,8000	24,52306280
94,9000	24,47803195
95,0000	24,52306280
95,1000	24,47803195
95,2000	24,52306280
95,3000	24,52306280
95,4000	24,52306280
95,5000	24,52306280
95,6000	24,56811635
95,7000	24,52306280
95,8000	24,56811635
95,9000	24,47803195
96,0000	24,52306280
96,1000	24,47803195
96,2000	24,47803195
96,3000	24,47803195
96,4000	24,52306280
96,5000	24,52306280
96,6000	24,56811635
96,7000	24,52306280
96,8000	24,56811635
96,9000	24,52306280
97,0000	24,56811635
97,1000	24,52306280
97,2000	24,52306280
97,3000	24,52306280
97,4000	24,52306280
97,5000	24,52306280
97,6000	24,56811635
97,7000	24,52306280
97,8000	24,52306280
97,9000	24,52306280
98,0000	24,52306280
98,1000	24,47803195
98,2000	24,52306280
98,3000	24,52306280
98,4000	24,52306280
98,5000	24,52306280
98,6000	24,52306280
98,7000	24,52306280
98,8000	24,52306280
98,9000	24,52306280
99,0000	24,52306280
99,1000	24,47803195
99,2000	24,52306280
99,3000	24,52306280
99,4000	24,52306280
99,5000	24,47803195
99,6000	24,52306280
99,7000	24,52306280
99,8000	24,56811635
99,9000	24,52306280
100,0000	24,52306280
100,1000	24,52306280
100,2000	24,56811635
100,3000	24,52306280
100,4000	24,56811635
100,5000	24,52306280
100,6000	24,56811635
100,7000	24,47803195
100,8000	24,52306280
100,9000	24,52306280
101,0000	24,56811635
101,1000	24,52306280
101,2000	24,52306280
101,3000	24,52306280
101,4000	24,56811635
101,5000	24,52306280
101,6000	24,52306280
101,7000	24,52306280
101,8000	24,56811635
101,9000	24,52306280
102,0000	24,52306280
102,1000	24,52306280
102,2000	24,52306280
102,3000	24,52306280
102,4000	24,52306280
102,5000	24,52306280
102,6000	24,52306280
102,7000	24,52306280
102,8000	24,52306280
102,9000	24,52306280
103,0000	24,56811635
103,1000	24,52306280
103,2000	24,52306280
103,3000	24,52306280
103,4000	24,56811635
103,5000	24,52306280
103,6000	24,56811635
103,7000	24,52306280
103,8000	24,56811635
103,9000	24,52306280
104,0000	24,56811635
104,1000	24,52306280
104,2000	24,56811635
104,3000	24,52306280
104,4000	24,52306280
104,5000	24,52306280
104,6000	24,52306280
104,7000	24,52306280
104,8000	24,56811635
104,9000	24,52306280
105,0000	24,56811635
105,1000	24,47803195
105,2000	24,56811635
105,3000	24,52306280
105,4000	24,56811635
105,5000	24,52306280
105,6000	24,52306280
105,7000	24,52306280
105,8000	24,56811635
105,9000	24,52306280
106,0000	24,56811635
106,1000	24,52306280
106,2000	24,56811635
106,3000	24,52306280
106,4000	24,52306280
106,5000	24,47803195
106,6000	24,56811635
106,7000	24,52306280
106,8000	24,56811635
106,9000	24,56811635
107,0000	24,56811635
107,1000	24,52306280
107,2000	24,56811635
107,3000	24,52306280
107,4000	24,52306280
107,5000	24,52306280
107,6000	24,56811635
107,7000	24,52306280
107,8000	24,52306280
107,9000	24,52306280
108,0000	24,56811635
108,1000	24,52306280
108,2000	24,56811635
108,3000	24,52306280
108,4000	24,56811635
108,5000	24,52306280
108,6000	24,56811635
108,7000	24,52306280
108,8000	24,56811635
108,9000	24,52306280
109,0000	24,56811635
109,1000	24,52306280
109,2000	24,52306280
109,3000	24,52306280
109,4000	24,52306280
109,5000	24,52306280
109,6000	24,56811635
109,7000	24,52306280
109,8000	24,56811635
109,9000	24,52306280
110,0000	24,56811635
110,1000	24,52306280
110,2000	24,56811635
110,3000	24,52306280
110,4000	24,56811635
110,5000	24,56811635
110,6000	24,56811635
110,7000	24,52306280
110,8000	24,52306280
110,9000	24,56811635
111,0000	24,56811635
111,1000	24,52306280
111,2000	24,56811635
111,3000	24,52306280
111,4000	24,56811635
111,5000	24,52306280
111,6000	24,56811635
111,7000	24,52306280
111,8000	24,56811635
111,9000	24,56811635
112,0000	24,56811635
112,1000	24,52306280
112,2000	24,56811635
112,3000	24,52306280
112,4000	24,56811635
112,5000	24,52306280
112,6000	24,56811635
112,7000	24,52306280
112,8000	24,56811635
112,9000	24,52306280
113,0000	24,56811635
113,1000	24,56811635
113,2000	24,56811635
113,3000	24,52306280
113,4000	24,56811635
113,5000	24,56811635
113,6000	24,56811635
113,7000	24,52306280
113,8000	24,56811635
113,9000	24,52306280
