#r		P		D
            4.43   0.161978392682  -0.100446727075
            4.44    0.16097598034  -0.100036785104
            4.45      0.159977657  -0.099628922249
            4.46   0.158983401915 -0.0992231291179
            4.47   0.157993194437 -0.0988193963194
            4.48   0.157007014008 -0.0984177144619
            4.49   0.156024840167 -0.0980180741549
             4.5   0.155046652544 -0.0976204660097
            4.51   0.154072430866 -0.0972248806407
            4.52   0.153102154951 -0.0968313086662
            4.53   0.152135804712 -0.0964397407095
            4.54   0.151173360156 -0.0960501673997
            4.55   0.150214801384 -0.0956625793729
            4.56   0.149260108588 -0.0952769672724
            4.57   0.148309262057 -0.0948933217505
            4.58   0.147362242172 -0.0945116334685
            4.59   0.146419029407 -0.0941318930979
             4.6    0.14547960433 -0.0937540913215
            4.61     0.1445439476 -0.0933782188334
            4.62   0.143612039972 -0.0930042663406
            4.63   0.142683862292 -0.0926322245631
            4.64     0.1417593955 -0.0922620842349
            4.65   0.140838620627 -0.0918938361049
            4.66   0.139921518797 -0.0915274709371
            4.67   0.139008071227 -0.0911629795117
            4.68   0.138098259225 -0.0908003526255
            4.69   0.137192064193 -0.0904395810927
             4.7   0.136289467622 -0.0900806557452
            4.71   0.135390451097 -0.0897235674338
            4.72   0.134494996292 -0.0893683070281
            4.73   0.133603084975 -0.0890148654175
            4.74   0.132714699003 -0.0886632335116
            4.75   0.131829820323 -0.0883134022409
            4.76   0.130948430976  -0.087965362557
            4.77   0.130070513091 -0.0876191054335
            4.78   0.129196048886 -0.0872746218659
            4.79   0.128325020672  -0.086931902873
             4.8   0.127457410847 -0.0865909394963
            4.81     0.1265932019 -0.0862517228014
            4.82   0.125732376409 -0.0859142438777
            4.83   0.124874917041 -0.0855784938393
            4.84    0.12402080655 -0.0852444638253
            4.85   0.123170027782     -0.084912145
            4.86   0.122322563668 -0.0845815285534
            4.87   0.121478397229 -0.0842526057017
            4.88   0.120637511572 -0.0839253676876
            4.89   0.119799889893 -0.0835998057804
             4.9   0.118965515474 -0.0832759112769
            4.91   0.118134371685  -0.082953675501
            4.92   0.117306441982 -0.0826330898046
            4.93   0.116481709906 -0.0823141455677
            4.94   0.115660159088 -0.0819968341985
            4.95    0.11484177324 -0.0816811471342
            4.96   0.114026536162 -0.0813670758406
            4.97    0.11321443174  -0.081054611813
            4.98   0.112405443943 -0.0807437465759
            4.99   0.111599556826 -0.0804344716837
               5   0.110796754527 -0.0801267787207
            5.01   0.109997021268 -0.0798206593013
            5.02   0.109200341358 -0.0795161050705
            5.03   0.108406699184 -0.0792131077036
            5.04    0.10761607922 -0.0789116589069
            5.05   0.106828466022 -0.0786117504176
            5.06   0.106043844228 -0.0783133740042
            5.07   0.105262198559 -0.0780165214665
            5.08   0.104483513816 -0.0777211846355
            5.09   0.103707774883 -0.0774273553745
             5.1   0.102934966725  -0.077135025578
            5.11   0.102165074387 -0.0768441871729
            5.12   0.101398082997  -0.076554832118
            5.13   0.100633977761 -0.0762669524044
            5.14  0.0998727439653 -0.0759805400556
            5.15   0.099114366976 -0.0756955871276
            5.16  0.0983588322386 -0.0754120857088
            5.17  0.0976061252777 -0.0751300279206
            5.18   0.096856231696 -0.0748494059169
            5.19   0.096109137175 -0.0745702118847
             5.2   0.095364827474 -0.0742924380438
            5.21  0.0946232884297 -0.0740160766473
            5.22  0.0938845059565 -0.0737411199811
            5.23  0.0931484660455 -0.0734675603645
            5.24  0.0924151547646   -0.07319539015
            5.25  0.0916845582578 -0.0729246017234
            5.26  0.0909566627453 -0.0726551875039
            5.27  0.0902314545229 -0.0723871399441
            5.28  0.0895089199615   -0.07212045153
            5.29  0.0887890455073 -0.0718551147811
             5.3  0.0880718176808 -0.0715911222505
            5.31  0.0873572230771 -0.0713284665247
            5.32  0.0866452483651 -0.0710671402239
