0		         0.500000         0.000000         1.178098 0
        0.503000         0.002509        -1.564698         1.224170         0.039108
        0.504000         0.000945        -1.564715         1.224171         0.039108
        0.505000        -0.000620        -1.564717         1.224171         0.039108
        0.506000        -0.002185        -1.564703         1.224170         0.039108
        0.507000        -0.003750        -1.564673         1.224169         0.039106
        0.508000        -0.005314        -1.564628         1.224166         0.039104
        0.509000        -0.006879        -1.564567         1.224162         0.039101
        0.510000        -0.008443        -1.564490         1.224158         0.039097
        0.511000        -0.010008        -1.564398         1.224153         0.039093
        0.512000        -0.011572        -1.564290         1.224146         0.039087
        0.513000        -0.013136        -1.564167         1.224139         0.039081
        0.514000        -0.014701        -1.564027         1.224131         0.039074
        0.515000        -0.016264        -1.563873         1.224122         0.039066
